id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO2217651332,Vendo Casa Campestre En Exclusivo Sector De Dosquebradas,used,gold_premium,https://casa.mercadolibre.com.co/MCO-2217651332-vendo-casa-campestre-en-exclusivo-sector-de-dosquebradas-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,1250000000,1,,False,2024-08-18T04:00:00.000Z,"{'address_line': 'Variante Romelia - El Pollo', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0RPU2E2OGE1', 'name': 'Dosquebradas'}, 'state': {'id': 'TUNPUFJJU2ExMWIyYg', 'name': 'Risaralda'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.8318899, 'longitude': -75.7005803}","{'contact': 'INMOBILIARIA TU CASA YA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,229072031,INMOBILIARIA TUCASAYA
MCO1394151445,"Alquiler Apartamento El Trébol, Manizales Cod 7286790",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1394151445-alquiler-apartamento-el-trebol-manizales-cod-7286790-_JM,classified,MCO,MCO1473,MCO-APARTMENTS_FOR_RENT,2100000,1,1696.0,False,2024-05-20T04:00:00.000Z,"{'address_line': 'Av. Alberto Mendoza #87-62, Manizales, Caldas, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMVDcxODQ0Nw', 'name': 'El Trébol'}, 'city': {'id': 'TUNPQ01BTmMwNDc4', 'name': 'Manizales'}, 'state': {'id': 'TUNPUENBTHNjODY4', 'name': 'Caldas'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 5.042836, 'longitude': -75.4738384}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Inmobiliaria Lucia Prada,MCO1459,False,False,,not_specified,[],,,246924747,ALQUILER_ADMINISTRADOR
MCO2221290076,Se Vende Casa En Unidad Abierta ,used,gold_premium,https://casa.mercadolibre.com.co/MCO-2221290076-se-vende-casa-en-unidad-abierta-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,670000000,1,,False,2024-08-20T04:00:00.000Z,"{'address_line': 'La Ceja, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0xBWjI0NTNl', 'name': 'La Ceja'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.0298998, 'longitude': -75.4305712}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,823868781,YENY_ALZATE
MCO2217422552,Se Vende Apartamento En Majestic Hermoso Conjunto De Dosquebradas,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2217422552-se-vende-apartamento-en-majestic-hermoso-conjunto-de-dosquebradas-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,250000000,1,,False,2024-08-18T04:00:00.000Z,"{'address_line': 'Circunvalar De Dosquebradas', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0RPU2E2OGE1', 'name': 'Dosquebradas'}, 'state': {'id': 'TUNPUFJJU2ExMWIyYg', 'name': 'Risaralda'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.8082677, 'longitude': -75.6641507}","{'contact': 'INMOBILIARIA TU CASA YA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,229072031,INMOBILIARIA TUCASAYA
MCO1395796129,Venta Apartamento Cundinamarca Cota Pueblo Viejo Uraku Oportunidad,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1395796129-venta-apartamento-cundinamarca-cota-pueblo-viejo-uraku-oportunidad-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,235000000,1,,False,2024-08-22T04:00:00.000Z,"{'address_line': 'Colombia Cundinamarca Cota Pueblo Viejo Uraku', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NPVGFiYzZm', 'name': 'Cota'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7998291, 'longitude': -74.1067066}","{'contact': 'yepespropiedades', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1178117146,MARIAPATRICIAYEPES
MCO2220595468,Bodega En Arriendo En Medellin Sector Aguacatala,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2220595468-bodega-en-arriendo-en-medellin-sector-aguacatala-_JM,classified,MCO,MCO50565,MCO-WAREHOUSES_FOR_RENT,6000000,1,,False,2025-02-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFHVTkzODgwMQ', 'name': 'Aguacatala'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2460043, 'longitude': -75.5704226}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO2219916638,Apartamento En Venta Cabecera Del Llano Bucaramanga,new,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2219916638-apartamento-en-venta-cabecera-del-llano-bucaramanga-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,800000000,1,,False,2024-08-19T04:00:00.000Z,"{'address_line': 'Cabecera', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0JVQzkzMTE4', 'name': 'Bucaramanga'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.112452, 'longitude': -73.1069259}","{'contact': 'Habitar Bienes y Proyectos Inmobiliarios', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,707146254,HABITAR INMOBILIARIA
MCO2221755322,Apartamento En Venta El Poblado Medellín,new,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2221755322-apartamento-en-venta-el-poblado-medellin-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,950000000,1,,False,2024-08-20T04:00:00.000Z,"{'address_line': 'El Poblado Patio Bonito', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2039573, 'longitude': -75.5740499}","{'contact': 'Óptimos Espacios', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1694770994,ESO20240221190049
MCO1395150363,Arriendo Apartamento 7 Piso Edificio Portobello-parque Vivero,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1395150363-arriendo-apartamento-7-piso-edificio-portobello-parque-vivero-_JM,classified,MCO,MCO1473,MCO-APARTMENTS_FOR_RENT,3100000,1,,False,2024-05-22T04:00:00.000Z,"{'address_line': '9FCX+MF Cali, Valle del Cauca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlZBTDQzOTkwNg', 'name': 'Valle Del Lili'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.3717138, 'longitude': -76.5013157}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,496621239,ANCORA INMOBILIARIA
MCO1395560777,Venta Penthouse Duplex En Laureles,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1395560777-venta-penthouse-duplex-en-laureles-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,1500000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBVTg0OTAyNg', 'name': 'Laureles'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2515938, 'longitude': -75.5887989}","{'contact': 'Gilbert Ramirez', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1466611848,PROPIEDADESYBIENES
