id,title,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO1377873857,Mantenimiento De Impresoras De Etiquetas,free,https://servicio.mercadolibre.com.co/MCO-1377873857-mantenimiento-de-impresoras-de-etiquetas-_JM,classified,MCO,MCO92679,MCO-PRINTING_SERVICES,130000.0,1,False,2024-03-04T04:00:00.000Z,"{'address_line': 'Carrera 49d #86-59, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBMzU0NDU', 'name': 'La Patria'}, 'city': {'id': 'TUNPQ0JBUjEyNTcx', 'name': 'Barrios Unidos'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6766109, 'longitude': -74.0665022}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1571629780,CINTASCINTAS20231129143258
MCO1377781707,Velocimetro Honda Xr150 ,free,https://servicio.mercadolibre.com.co/MCO-1377781707-velocimetro-honda-xr150-_JM,classified,MCO,MCO9065,MCO-OTHER_SERVICES,250000.0,1,False,2024-03-04T04:00:00.000Z,"{'address_line': 'Calle 8 #13-17', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1ZJTDJjYTg', 'name': 'Villanueva'}, 'state': {'id': 'TUNPUENBU2U2OWIy', 'name': 'Casanare'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6105758, 'longitude': -72.9317454}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,263284747,SAFR7155286
MCO2129365686,Perros Macho Raza Shitzu ,free,https://servicio.mercadolibre.com.co/MCO-2129365686-perros-macho-raza-shitzu-_JM,classified,MCO,MCO155441,MCO-PET_SERVICES,900000.0,1,False,2024-03-03T04:00:00.000Z,"{'address_line': 'Cl 71 a sur 83 20', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJPUzQ4MDk3', 'name': 'Bosa'}, 'city': {'id': 'TUNPQ0JPUzQwMzcw', 'name': 'Bosa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6142468, 'longitude': -74.1951263}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,667575028,LEIDYJOHANNAHERNANDEZVERA
MCO1377583285,Discos De Corte 4 1/2 Por 50unid,free,https://servicio.mercadolibre.com.co/MCO-1377583285-discos-de-corte-4-12-por-50unid-_JM,classified,MCO,MCO154959,MCO-HOME_AND_CONSTRUCTION_SERVICES,55000.0,1,False,2024-03-03T04:00:00.000Z,"{'address_line': 'Calle 23 #56-45', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNJVTU2MjQ1Mw', 'name': 'Ciudad 2000'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.4054298, 'longitude': -76.5235004}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,451450888,HAROLDQUI31
MCO1377612625,Venda De Ahorro Con Circuló De Viajes Universal.  ,free,https://servicio.mercadolibre.com.co/MCO-1377612625-venda-de-ahorro-con-circulo-de-viajes-universal-_JM,classified,MCO,MCO6311,MCO-TOURISM_SERVICES,2800000.0,1,False,2024-03-03T04:00:00.000Z,"{'address_line': 'Carrera  SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ05FSWQ2ZWQ5', 'name': 'Neiva'}, 'state': {'id': 'TUNPUEhVSWExNDVkMQ', 'name': 'Huila'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 2.7592033, 'longitude': -75.3834398}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,649732354,ORJU5910446
MCO2127652570,Curso De Pasteleria Basico Avanzado,free,https://servicio.mercadolibre.com.co/MCO-2127652570-curso-de-pasteleria-basico-avanzado-_JM,classified,MCO,MCO155434,MCO-COURSES_AND_CLASSES_SERVICES,120000.0,1,False,2024-03-03T04:00:00.000Z,"{'address_line': 'Calle 6 #SN-SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1NBTmYwMDE', 'name': 'San José Del Fragua'}, 'state': {'id': 'TUNPUENBUWExNjM3MA', 'name': 'Caqueta'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 1.3315742, 'longitude': -75.9733147}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,600501647,LIBARDOTORRES13
MCO1377309469,Wisky,free,https://fiesta-evento.mercadolibre.com.co/MCO-1377309469-wisky-_JM,classified,MCO,MCO118390,MCO-PARTIES_AND_EVENTS_SERVICES,65000.0,1,False,2024-03-02T04:00:00.000Z,"{'address_line': 'Diagonal 52a sur SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMMzIwNjY', 'name': 'El Carmen'}, 'city': {'id': 'TUNPQ1RVTjE0ODY0', 'name': 'Tunjuelito'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5818098, 'longitude': -74.1359711}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1031521855,CAMARGONAYLA20220913085705
MCO1377271709,Se Requiere Conductor- Vendedor Con Excelente Actitud,free,https://servicio.mercadolibre.com.co/MCO-1377271709-se-requiere-conductor-vendedor-con-excelente-actitud-_JM,classified,MCO,MCO9065,MCO-OTHER_SERVICES,1300000.0,1,False,2024-03-02T04:00:00.000Z,"{'address_line': 'Carrera 29a #15-53, La Ubertad, Cali, Valle del Cauca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjExOTU5NA', 'name': 'Santa Elena'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.4282837, 'longitude': -76.5256578}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1619924632,ROSH20240102105447
MCO2124966298,¡diseña Tu Hogar! - Construimos Digitalmente Tus Proyectos,free,https://profesional.mercadolibre.com.co/MCO-2124966298-disena-tu-hogar-construimos-digitalmente-tus-proyectos-_JM,classified,MCO,MCO155406,MCO-OTHER_SERVICES,2000.0,1,False,2024-03-01T04:00:00.000Z,"{'address_line': 'Cra. 7 #35-1, El Centro, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMQzE4ODYyNA', 'name': 'El Centro'}, 'city': {'id': 'TUNPQ0NBUjcwNTYz', 'name': 'Cartagena De Indias'}, 'state': {'id': 'TUNPUEJPTHI1Mzlk', 'name': 'Bolívar'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 10.4243625, 'longitude': -75.5490195}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,60655000,TECHNIFY.CO
MCO2124977866,Apple Music,free,https://servicio.mercadolibre.com.co/MCO-2124977866-apple-music-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,6000.0,1,False,2024-03-01T04:00:00.000Z,"{'address_line': 'Carrera 14 SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNIQTgzMTEz', 'name': 'Chapinero Occidental'}, 'city': {'id': 'TUNPQ1RFVTY1OTk1', 'name': 'Teusaquillo'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6425594, 'longitude': -74.0660296}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,256255343,RIDA4934346
MCO2124870144,Impresora L3250,free,https://servicio.mercadolibre.com.co/MCO-2124870144-impresora-l3250-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,800000.0,1,False,2024-03-01T04:00:00.000Z,"{'address_line': 'Carrera 22 42-48', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1VSUjFhMWZm', 'name': 'Urrao'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.0275652, 'longitude': -75.4340805}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,1618778342,GODI20231231212344
MCO1376836067,Pulidora Neumatica Ingersoll Rand 3445 Max.usada Está Como N,free,https://servicio.mercadolibre.com.co/MCO-1376836067-pulidora-neumatica-ingersoll-rand-3445-maxusada-esta-como-n-_JM,classified,MCO,MCO9065,MCO-OTHER_SERVICES,400000.0,1,False,2024-02-29T04:00:00.000Z,"{'address_line': 'Calle 18 sur #SN-SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFSQjY1Mjg5', 'name': 'Arborizadora Baja'}, 'city': {'id': 'TUNPQ0NJVTQ0NjQx', 'name': 'Ciudad Bolívar'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5742924, 'longitude': -74.1496865}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,208718454,OTALORALEONJULIOHERNANDO
MCO1376584451,Body Naturals ,free,https://servicio.mercadolibre.com.co/MCO-1376584451-body-naturals-_JM,classified,MCO,MCO9022,MCO-BEAUTY_AND_PERSONAL_CARE,120000.0,1,False,2024-02-28T04:00:00.000Z,"{'address_line': 'Calle 41 SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NBTDI2NjY1', 'name': 'Calarcá'}, 'state': {'id': 'TUNPUFFVSW9kYmZm', 'name': 'Quindio'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5314349, 'longitude': -75.6399103}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,478898851,YOHNGALEANO
MCO1376514991,Balón Futbol #5 Golty Magnum Gris Cosido Fifa,free,https://servicio.mercadolibre.com.co/MCO-1376514991-balon-futbol-5-golty-magnum-gris-cosido-fifa-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,100000.0,1,False,2024-02-28T04:00:00.000Z,"{'address_line': 'Carrer SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFSQTYxNTUwOQ', 'name': 'Aranjuez'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2530408, 'longitude': -75.5645737}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,473978100,LIZBETHISAZA
MCO2122810012,Reparación Y Mantenimiento De Computadores,free,https://reparacion-instalacion.mercadolibre.com.co/MCO-2122810012-reparacion-y-mantenimiento-de-computadores-_JM,classified,MCO,MCO3653,MCO-OTHER_SERVICES,100000.0,1,False,2024-02-28T04:00:00.000Z,"{'address_line': 'Autopista Nte., Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBNDE2NDY', 'name': 'La Cita'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7585944, 'longitude': -74.0450336}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,374715788,VIDRIOSOFI
MCO2122234600,Tv Ilimitada Satelital,free,https://servicio.mercadolibre.com.co/MCO-2122234600-tv-ilimitada-satelital-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,10000.0,1,False,2024-02-27T04:00:00.000Z,"{'address_line': 'calle 82  35-10', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ29uZGluYVRVTlBRMUJGVW1Nd01qSms', 'name': 'Condina'}, 'city': {'id': 'TUNPQ1BFUmMwMjJk', 'name': 'Pereira'}, 'state': {'id': 'TUNPUFJJU2ExMWIyYg', 'name': 'Risaralda'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7934436, 'longitude': -75.7475785}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,51776686,EMILIOARISTIZABALR
MCO2122234590,Diseño Personalizado Para Hoja De Vida,free,https://servicio.mercadolibre.com.co/MCO-2122234590-diseno-personalizado-para-hoja-de-vida-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,30000.0,1,False,2024-02-27T04:00:00.000Z,"{'address_line': 'Calle 2c este #9a-30', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJPQzQ1Njc3', 'name': 'Bochica'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.8100094, 'longitude': -74.3433939}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,183739740,ALIIVARGAS
MCO2122201534,Vendo ,free,https://servicio.mercadolibre.com.co/MCO-2122201534-vendo-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,85000.0,1,False,2024-02-27T04:00:00.000Z,"{'address_line': 'calle 23 SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1ZBTDViYjc4', 'name': 'Valledupar'}, 'state': {'id': 'TUNPUENFU3IxODA4Mg', 'name': 'Cesar'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 10.4619162, 'longitude': -73.2436342}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,183037391,MEDA2405000
MCO1376356543,Herramienta Rotativa De Velocidad Variable ,free,https://servicio.mercadolibre.com.co/MCO-1376356543-herramienta-rotativa-de-velocidad-variable-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,220000.0,1,False,2024-02-27T04:00:00.000Z,"{'address_line': '47b sur 23-', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNJVTc2MTU3', 'name': 'Ciudad Tunal'}, 'city': {'id': 'TUNPQ1RVTjE0ODY0', 'name': 'Tunjuelito'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5787933, 'longitude': -74.1295454}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,369769524,ORWI4754881
